rule,precision,recall,rule_coverage,Target,Sample size
"age<=45 & highest_qualification==""GCSE/CSE""",0.6304347826086957,0.1234042553191489,0.046,0.235,1000
"region==""South East"" & marital_status==""Single""",0.6304347826086957,0.1234042553191489,0.046,0.235,1000
"region!=""Midlands & East Anglia"" & highest_qualification==""GCSE/O Level""",0.625,0.3571428571428571,0.16,0.28,100
"region!=""Midlands & East Anglia"" & marital_status!=""Married""",0.6,0.5357142857142857,0.25,0.28,100
"gender==""Male"" & region!=""Midlands & East Anglia"" & nationality!=""English""",0.6,0.3214285714285714,0.15,0.28,100
"age<=30 & highest_qualification!=""Degree""",0.6,0.2808510638297872,0.11,0.235,1000
"region==""Wales""",0.6,0.1071428571428571,0.05,0.28,100
"age<=30 & highest_qualification==""GCSE/O Level""",0.5992141453831041,0.1208878319460959,0.0509,0.2523,10000
"highest_qualification!=""No Qualification"" & gross_income==""Under 2""",0.5957446808510638,0.1191489361702127,0.047,0.235,1000
"age<=40 & highest_qualification!=""Degree""",0.5925925925925926,0.5714285714285714,0.27,0.28,100
"age<=45 & gross_income==""Under 2""",0.5869565217391305,0.1148936170212766,0.046,0.235,1000
"highest_qualification==""GCSE/CSE""",0.5849056603773585,0.1319148936170212,0.053,0.235,1000
"age<=40 & region!=""Midlands & East Anglia""",0.5769230769230769,0.5357142857142857,0.26,0.28,100
"gross_income==""5"" & marital_status==""Single""",0.5726872246696035,0.1030519223147047,0.0454,0.2523,10000
"age<=30 & highest_qualification!=""Degree""",0.5705128205128205,0.246928260007927,0.1092,0.2523,10000
"gender==""Male"" & nationality!=""English""",0.5625,0.3214285714285714,0.16,0.28,100
"highest_qualification!=""Degree"" & marital_status==""Single""",0.5616740088105727,0.4042806183115339,0.1816,0.2523,10000
"age<=30 & marital_status!=""Married""",0.5555555555555556,0.2553191489361702,0.108,0.235,1000
"age<=40 & gross_income!=""15""",0.5357142857142857,0.5357142857142857,0.28,0.28,100
"highest_qualification!=""Degree"" & marital_status==""Single""",0.5337078651685393,0.4042553191489361,0.178,0.235,1000
"gender==""Male"" & age<=40",0.5333333333333333,0.2857142857142857,0.15,0.28,100
"region!=""Midlands & East Anglia"" & age<=30",0.532608695652174,0.2085106382978723,0.092,0.235,1000
"marital_status!=""Married"" & age<=78",0.53125,0.6071428571428571,0.32,0.28,100
"age<=45 & marital_status==""Single""",0.5307855626326964,0.3963535473642489,0.1884,0.2523,10000
age<=30,0.5307692307692308,0.2936170212765957,0.13,0.235,1000
"age<=52 & highest_qualification!=""Degree""",0.5263157894736842,0.7142857142857143,0.38,0.28,100
"marital_status!=""Married"" & gross_income!=""15""",0.5161290322580645,0.5714285714285714,0.31,0.28,100
"marital_status!=""Married"" & highest_qualification!=""Degree""",0.5151515151515151,0.6071428571428571,0.33,0.28,100
"region!=""Midlands & East Anglia"" & marital_status==""Single""",0.514752040175769,0.3250099088386841,0.1593,0.2523,10000
"marital_status!=""Married"" & age<=60",0.5095084320057409,0.5628220372572335,0.2787,0.2523,10000
"marital_status!=""Married""",0.5,0.6071428571428571,0.34,0.28,100
"region==""London""",0.5,0.1071428571428571,0.06,0.28,100
"marital_status==""Single""",0.4956361966008268,0.4276654776060246,0.2177,0.2523,10000
age<=30,0.4785407725321888,0.2651605231866825,0.1398,0.2523,10000
"highest_qualification==""GCSE/O Level""",0.4761904761904761,0.3571428571428571,0.21,0.28,100
age<=40,0.4705882352941176,0.5714285714285714,0.34,0.28,100
"marital_status==""Single""",0.4691943127962085,0.4212765957446808,0.211,0.235,1000
"gender==""Male"" & gross_income==""5""",0.4666666666666667,0.25,0.15,0.28,100
"gross_income==""10""",0.4444444444444444,0.1428571428571428,0.09,0.28,100
"region==""Scotland""",0.4285714285714285,0.1071428571428571,0.07,0.28,100
age<=52,0.42,0.75,0.5,0.28,100
"highest_qualification==""GCSE/O Level""",0.4154811715481171,0.3935790725326992,0.239,0.2523,10000
"highest_qualification==""GCSE/O Level""",0.3766233766233766,0.3702127659574468,0.231,0.235,1000
"gross_income==""5""",0.375,0.4285714285714285,0.32,0.28,100
"marital_status!=""Married""",0.3738665426644966,0.6373365041617123,0.4301,0.2523,10000
"gender==""Male"" & region==""South East""",0.3714285714285714,0.1106382978723404,0.07,0.235,1000
age<=45,0.3683045595396193,0.6595323028141102,0.4518,0.2523,10000
"region!=""Midlands & East Anglia"" & gross_income==""10""",0.3575240128068303,0.1327784383670233,0.0937,0.2523,10000
"region!=""Midlands & East Anglia""",0.3571428571428571,0.8928571428571429,0.7,0.28,100
"marital_status!=""Married""",0.3559718969555035,0.6468085106382979,0.427,0.235,1000
age<=45,0.3520179372197309,0.6680851063829787,0.446,0.235,1000
"gender==""Male""",0.3414634146341463,0.5,0.41,0.28,100
"gross_income==""10""",0.3387806411062225,0.2136345620293301,0.1591,0.2523,10000
age<=66,0.3380281690140845,0.8571428571428571,0.71,0.28,100
age<=60,0.3350641417226634,0.869599682917162,0.6548,0.2523,10000
"nationality==""Scottish""",0.3333333333333333,0.1071428571428571,0.09,0.28,100
"highest_qualification!=""No Qualification""",0.3272727272727272,0.6428571428571429,0.55,0.28,100
"region==""London""",0.32,0.102127659574468,0.075,0.235,1000
age<=60,0.3178294573643411,0.8723404255319149,0.645,0.235,1000
"highest_qualification!=""Degree""",0.3176470588235294,0.9642857142857144,0.85,0.28,100
"nationality!=""English""",0.3111111111111111,0.5,0.45,0.28,100
"gender==""Male"" & highest_qualification!=""Degree""",0.3057324840764331,0.4085106382978723,0.314,0.235,1000
"gross_income!=""Under 2""",0.3033707865168539,0.9642857142857144,0.89,0.28,100
"gross_income==""Under 2""",0.3020833333333333,0.1234042553191489,0.096,0.235,1000
"gross_income!=""15""",0.2967032967032967,0.9642857142857144,0.91,0.28,100
age<=78,0.2916666666666667,1.0,0.96,0.28,100
"gender==""Male"" & region!=""Midlands & East Anglia""",0.2862745098039215,0.3106382978723404,0.255,0.235,1000
"highest_qualification!=""Degree""",0.2843450479233226,0.9524375743162902,0.8451,0.2523,10000
"gross_income==""2""",0.2839506172839506,0.1957446808510638,0.162,0.235,1000
"region==""South East""",0.2807017543859649,0.2042553191489361,0.171,0.235,1000
age<=75,0.2776401711326278,0.9774078478002378,0.8882,0.2523,10000
"region==""South East""",0.2771349862258953,0.1993658343242172,0.1815,0.2523,10000
"highest_qualification!=""No Qualification""",0.2759197324414715,0.7021276595744681,0.598,0.235,1000
"region!=""Midlands & East Anglia""",0.2739949562379469,0.7320650019817677,0.6741,0.2523,10000
"marital_status!=""Widowed""",0.2698485543827443,0.9322235434007136,0.8716,0.2523,10000
"highest_qualification!=""Degree""",0.269185360094451,0.9702127659574468,0.847,0.235,1000
"region!=""Midlands & East Anglia""",0.267071320182094,0.7489361702127659,0.659,0.235,1000
"gross_income==""5""",0.2639942217407006,0.2897344431232659,0.2769,0.2523,10000
age<=75,0.2610169491525423,0.9829787234042552,0.885,0.235,1000
"marital_status!=""Widowed""",0.2525714285714285,0.9404255319148936,0.875,0.235,1000
"gender==""Male""",0.2493765586034912,0.425531914893617,0.401,0.235,1000
